country,population_value,yearly_change,land_area,migrants,med_age
Aruba,106845,0.43,180,201.0,41
Tonga,105901,1.15,720,-800.0,22
U.S. Virgin Islands,104398,-0.15,350,-451.0,43
Seychelles,98453,0.62,460,-200.0,34
Antigua and Barbuda,98069,0.84,440,0.0,34
Isle of Man,85112,0.53,570,,N.A.
Andorra,77287,0.16,470,,N.A.
Dominica,72017,0.25,750,,N.A.
Cayman Islands,65854,1.19,240,,N.A.
Bermuda,62237,-0.36,50,,N.A.
Marshall Islands,59259,0.68,180,,N.A.
Northern Mariana Islands,57619,0.60,460,,N.A.
Greenland,56787,0.17,410450,,N.A.
American Samoa,55169,-0.22,200,,N.A.
Saint Kitts & Nevis,53264,0.71,260,,N.A.
Faeroe Islands,48896,0.38,1396,,N.A.
Sint Maarten,42960,1.15,34,,N.A.
Monaco,39290,0.71,1,,N.A.
Turks and Caicos,38806,1.38,950,,N.A.
Saint Martin,38778,1.75,53,,N.A.
Liechtenstein,38147,0.29,160,,N.A.
San Marino,33944,0.21,60,,N.A.
Gibraltar,33689,-0.03,10,,N.A.
British Virgin Islands,30266,0.67,150,,N.A.
Caribbean Netherlands,26265,0.94,328,,N.A.
Palau,18109,0.48,460,,N.A.
Cook Islands,17567,0.09,240,,N.A.
Anguilla,15026,0.90,90,,N.A.
Tuvalu,11817,1.25,30,,N.A.
Wallis & Futuna,11203,-1.69,140,,N.A.
Nauru,10836,0.63,20,,N.A.
Saint Barthelemy,9882,0.30,21,,N.A.
Saint Helena,6080,0.30,390,,N.A.
Saint Pierre & Miquelon,5789,-0.48,230,,N.A.
Montserrat,4993,0.06,100,,N.A.
Falkland Islands,3497,3.05,12170,,N.A.
Niue,1628,0.68,260,,N.A.
Tokelau,1360,1.27,10,,N.A.
Holy See,801,0.25,0,,N.A.
